epoch,loss
0,6.31890344619751
1,5.083042621612549
2,4.1087822914123535
3,3.3403751850128174
4,2.733963966369629
5,2.255040407180786
6,1.8764562606811523
7,1.5768510103225708
8,1.3394182920455933
9,1.1509355306625366
